Desempleo
8.50
10.90
8.80
9.47
09.06
9.13
9.77
8.73
7.96
9.50
8.40
8.41
8.42
7.41
8.62
8.65
09.04
7.77
7.93
8.12
8.19
8.78
9.31
8.48
6.92
7.76
7.71
7.58
7.82
7.58
7.84
7.95
8.46
09.02
8.21
8.12
7.74
7.74
7.10
8.39
7.72
8.60
7.51
7.85
08.06
8.00
8.00
7.74
7.40
7.90
8.50
7.60
7.00
7.40
7.40
8.12
7.26
7.11
6.59
6.47
07.01
6.65
6.18
6.75
5.67
6.85
6.79
6.80
6.33
07.03
6.72
06.02
6.42
6.37
06.03
6.00
6.88
6.47
6.51
6.84
6.94
6.48
07.07
5.60
6.40
5.80
7.10
5.70
6.90
7.00
7.20
6.30
5.60
6.30
6.10
