Inflación
02.09
-0.03
0.42
0.75
0.52
0.88
0.76
0.64
0.40
0.43
0.55
0.98
2.17
-0.38
0.36
0.23
0.50
0.67
0.60
0.99
0.81
0.07
0.28
0.88
2.71
-0.31
0.34
0.46
0.54
0.77
0.32
0.15
0.13
0.22
0.68
0.50
2.60
-0.55
0.10
0.18
0.25
0.57
0.39
0.40
0.97
0.46
01.04
1.60
2.45
-0.55
0.43
0.60
0.69
1.18
1.21
0.45
0.49
0.57
0.70
1.10
2.22
-0.53
0.15
0.59
1.00
0.75
0.75
0.35
0.32
-0.06
0.58
1.66
2.44
-0.72
0.20
0.82
1.36
01.04
0.77
0.43
0.32
0.45
0.66
0.99
1.90
-0.73
0.35
1.15
1.21
0.93
0.33
0.34
1.42
0.94
1.25
